South Bronx High School ,40.810487,-73.90688899999998
WALTON HIGH SCHOOL ,40.870593,-73.89837
Bushwick High School ,40.695404,-73.927367
Bronx Latin School ,40.827171,-73.90079000000003
Knowledge & Power Prep Acad International HS ,40.859886,-73.88827600000002
Gaynor McCown Expeditionary Learning School ,40.581969,-74.15935999999999
ACADEMY FOR LANGUAGE AND TECHNOLOGY ,40.849016,-73.916001
Academy for Careers in Television and Film ,40.757158,-73.93240700000001
Urban Assembly Academy of Business & Community D ,40.765439,-73.99325699999997
Urban Assembly School for Applied Math Science ,40.839413,-73.901903
ADLAI E STEVENSON HIGH SCHOOL ,40.821111,-73.85583300000002
Young Women's Leadership High School ,40.792782,-73.947158
Jill Chaifetz Transfer High School ,40.818905,-73.906
CROTANA ACADEMY HIGH SCHOOL ,40.8169998,-73.91170699999998
LYONS COMMUNITY SCHOOL ,40.710339,-73.94386099999997
Queens Collegiate: A College Board School ,40.71393,-73.79854999999998
YABC AT HARRY S. TRUMAN HIGH SCHOOL ,40.818424,-73.92006800000001
The Frances Perkins Academy ,40.722263,-73.95326599999999
HARRY VAN ARSDALE HIGH SCHOOL ,40.715658,-73.95541600000001
YABC at Automative High School ,40.5275,-74.19277799999998
Region Five Scholars' Academy ,40.584253,-73.82566600000001
ACADEMY OF MEDICAL TECHNOLOGY ,40.601491,-73.76394700000003
Robert H. Goddard High School for Communication Art ,40.670947,-73.84545800000001
Queens High School for Information,40.601532,-73.763979
Community Health Academy Heights ,40.850826,-73.933244
MS 293 City College Academy of the Arts ,40.860945,-73.930073
YABC AT FLUSHING HIGH SCHOOL ,40.737599,-73.85342700000001
Academy for Social Action ,40.815118,-73.95478800000001
Young Women's Leadership School of Astoria ,40.771191,-73.92418900000001
NYC iSchool ,40.724821,-74.00477799999999
Queens School of Inquiry ,40.724191,-73.80937
Gotham Professional Arts Academy ,40.680388,-73.92202600000002
Pan American International High School ,40.743204,-73.87148200000001
Civic Leadership Academy ,40.743204,-73.87148200000001
George Wood Wingate High School ,40.658665,-73.94383800000003
INNOVATION DIPLOMA PLUS HIGH SCHOOL ,40.786078,-73.97432800000001
Expeditionary Learning Sch for Community Leaders ,40.593851,-73.98549600000001
LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUS ,40.593851,-73.98549600000001
YABC AT CANARSIE HIGH SCHOOL ,40.735516,-73.98748799999998
Seward Park High School ,40.717394,-73.98959100000002
IT TAKES A VILLAGE ACADEMY ,40.648487,-73.92231700000002
YABC at Washington Irving High School ,40.735516,-73.98748799999998
BROOKLYN GENERATION SCHOOL ,40.633611,-73.91750000000002
BROOKLYN THEATRE ARTS HIGH SCHOOL ,40.633224,-73.91713199999998
SCHOOL FOR CLASSICS ,40.670654,-73.87444399999998
Kurt Hahn Expeditionary Learning School ,40.648487,-73.92231800000002
Brooklyn Lab School ,40.69228,-73.86892699999999
Academy of Innovative Technology High School ,40.69228,-73.86892699999999
VICTORY COLLEGIATE HIGH SCHOOL ,40.633224,-73.91713199999998
Multicultural High School ,40.69228,-73.86892699999999
ARTS & MEDIA PREPARATORY ACADEMY ,40.65851,-73.92911800000002
Park West High School ,40.765325,-73.99305700000002
High School for Innovation in Advertising and Media ,40.641579,-73.89804600000002
THOMAS JEFFERSON HIGH SCHOOL ,40.667048,-73.89513599999998
YOUNG ADULT BOROUGH CTR,40.736187,-73.85020199999997
Cultural Academy for the Arts and Sciences ,40.648487,-73.92231800000002
East Brooklyn Community High School ,40.647508,-73.89208400000001
High School for Medical Professions ,40.640539,-73.89792799999998
Urban Action Academy ,40.6406,-73.89799099999999
P256 QUEENS SCHOOL @ SAINT MARY'S ,40.686007,-73.83864499999999
P4Q SCHOOL (@ 179) ,40.739175,-74.16837599999997
STUYVESANT HIGH SCHOOL ,40.718047,-74.01413000000002
BRONX HIGH SCHOOL OF SCIENCE ,40.877883,-73.89110299999999
Townsend Harris High School at Queens College ,40.735021,-73.82122900000002
BARD HIGH SCHOOL EARLY COLLEGE ,40.718266,-73.975911
HS of American Studies at Lehman College ,40.874876,-73.89522299999999
STATEN ISLAND TECHNICAL HIGH SCHOOL ,40.568056,-74.11611099999999
QUEENS HS FOR SCIENCE YORK COL ,40.701004,-73.79821800000002
BROOKLYN TECHNICAL HIGH SCHOOL ,40.688872,-73.97643800000003
High School For Math Science Engineering City Coll ,40.82137,-73.94877099999997
BEACON SCHOOL ,40.772441,-73.988293
BACCALAUREATE SCH GLOBAL EDUC ,40.755124,-73.926853
New Explorations into Sci,40.719584,-73.97912300000002
LAGUARDIA HIGH SCH MUSIC ART ,40.773881,-73.98528499999998
New York City Laboratory School Collab Studies ,40.742309,-74.002455
